   Address          Symbol Name                Value        

     10B8    TimePoints                                     
     10B8    [0]                                   0.0000000
     10BC    [1]                                    1.542000
     10C0    [2]                                    5.886600
     10C4    [3]                                    4.651800
     10C8    [4]                                    4.630200
     10CC    [5]                                    12.48000
     10D0    [6]                                    4.635800
     10D4    [7]                                    4.638600
     10D8    [8]                                    4.641400
     10DC    [9]                                    11.22420
     10E0    [10]                                   4.611400
     10E4    [11]                                   4.581000
     10E8    [12]                                   4.596200
     10EC    [13]                                   11.13460
     10F0    [14]                                   4.598200
     10F4    [15]                                   4.562200
     10F8    [16]                                   4.580800
     10FC    [17]                                   11.14040
     1100    [18]                                   4.510000
     1104    [19]                                   4.512800
     0EB4    pFN                                      0x8524
     0EB6    RC                              0x00 == CE_GOOD
     1108    ReadCnt                                  0x0200
     110A    File                                           
